Invoice ID,Branch,Gender,Date,Time,Rating
750-67-8428,A,Female,01-05-2019,13:08,9.1
226-31-3081,C,Female,03-08-2019,10:29,9.6
631-41-3108,A,Male,03-03-2019,13:23,7.4
123-19-1176,A,Male,1-27-2019,20:33,8.4
373-73-7910,A,Male,02-08-2019,10:37,5.3
699-14-3026,C,Male,3-25-2019,18:30,4.1
355-53-5943,A,Female,2-25-2019,14:36,5.8
315-22-5665,C,Female,2-24-2019,11:38,8
665-32-9167,A,Female,01-10-2019,17:15,7.2
692-92-5582,B,Female,2-20-2019,13:27,5.9
351-62-0822,B,Female,02-06-2019,18:07,4.5
529-56-3974,B,Male,03-09-2019,17:03,6.8
365-64-0515,A,Female,02-12-2019,10:25,7.1
252-56-2699,A,Male,02-07-2019,16:48,8.2
829-34-3910,A,Female,3-29-2019,19:21,5.7
299-46-1805,B,Female,1-15-2019,16:19,4.5
656-95-9349,A,Female,03-11-2019,11:03,4.6
765-26-6951,A,Male,01-01-2019,10:39,6.9
329-62-1586,A,Male,1-21-2019,18:00,8.6
319-50-3348,B,Female,03-11-2019,15:30,4.4
300-71-4605,C,Male,2-25-2019,11:24,4.8
371-85-5789,B,Male,03-05-2019,10:40,5.1
273-16-6619,B,Male,3-15-2019,12:20,4.4
636-48-8204,A,Male,2-17-2019,11:15,9.9
549-59-1358,A,Male,03-02-2019,17:36,6
227-03-5010,A,Female,3-22-2019,19:20,8.5
649-29-6775,B,Male,02-08-2019,15:31,6.7
189-17-4241,A,Female,03-10-2019,12:17,7.7
145-94-9061,B,Female,1-25-2019,19:48,9.6
848-62-7243,A,Male,3-15-2019,15:36,7.4
871-79-8483,B,Male,2-25-2019,19:39,4.8
149-71-6266,B,Male,1-28-2019,12:43,4.5
640-49-2076,B,Male,01-10-2019,14:49,5.1
595-11-5460,A,Male,3-15-2019,10:12,5.1
183-56-6882,C,Female,02-06-2019,10:42,7.5
232-16-2483,C,Female,01-07-2019,12:28,6.8
129-29-8530,A,Male,03-10-2019,19:15,7
272-65-1806,A,Female,1-15-2019,17:17,4.7
333-73-7901,C,Female,3-23-2019,13:24,7.6
777-82-7220,B,Male,03-03-2019,13:01,7.7
280-35-5823,B,Female,1-17-2019,18:45,7.9
554-53-8700,C,Male,02-02-2019,10:11,6.3
354-25-5821,B,Female,02-08-2019,13:03,5.6
228-96-1411,C,Female,03-04-2019,20:39,7.6
617-15-4209,C,Male,3-16-2019,19:47,7.2
132-32-9879,B,Female,03-09-2019,18:00,9.5
370-41-7321,B,Male,2-27-2019,17:24,8.4
727-46-3608,B,Female,02-06-2019,15:47,4.1
669-54-1719,B,Male,02-10-2019,12:45,8.1
574-22-5561,C,Female,3-19-2019,17:08,7.9
326-78-5178,C,Male,02-03-2019,10:19,9.5
162-48-8011,A,Female,02-10-2019,15:10,8.5
616-24-2851,B,Female,3-22-2019,14:42,6.5
778-71-5554,C,Male,1-25-2019,15:46,6.1
242-55-6721,B,Male,03-07-2019,11:49,6.5
399-46-5918,C,Female,2-28-2019,19:01,8.2
106-35-6779,A,Male,3-27-2019,11:26,5.8
635-40-6220,A,Male,02-07-2019,11:28,6.6
817-48-8732,A,Female,1-20-2019,15:55,5.4
120-06-4233,C,Male,03-12-2019,20:36,9.3
285-68-5083,C,Female,2-15-2019,17:47,10
803-83-5989,C,Male,2-24-2019,10:55,7
347-34-2234,B,Female,02-03-2019,13:40,10
199-75-8169,A,Male,03-06-2019,12:27,8.6
853-23-2453,B,Male,2-14-2019,14:35,7.6
877-22-3308,A,Male,3-13-2019,16:40,5.8
838-78-4295,C,Female,02-10-2019,15:43,6.7
109-28-2512,B,Female,01-07-2019,15:01,9.9
232-11-3025,A,Male,1-24-2019,10:04,6.4
382-03-4532,A,Female,02-02-2019,18:50,4.3
393-65-2792,C,Male,01-06-2019,12:46,9.6
796-12-2025,C,Male,02-11-2019,16:19,5.9
510-95-6347,B,Female,03-05-2019,18:17,4
841-35-6630,C,Female,03-09-2019,18:21,8.7
287-21-9091,A,Male,1-22-2019,10:55,9.4
732-94-0499,C,Female,1-13-2019,17:04,5.4
263-10-3913,C,Male,01-09-2019,14:20,8.6
